,Name,Artists,Peak.position
596,Black Beatles,Rae Sremmurd,1.0
597,Black Horse & The Cherry Tree,KT Tunstall,20.0
598,Black Magic,Little Mix,67.0
599,Black Skinhead,Kanye West,69.0
600,Black Suits Comin',Will Smith,77.0
601,Black Widow,Iggy Azalea,3.0
602,Blackout,Breathe Carolina,32.0
603,Blah Blah Blah,Ke$ha,7.0
604,Blame,Calvin Harris,19.0
605,Blame It,Jamie Foxx,2.0
606,Blame It On Me,Post Malone,47.0
607,Blank Space,Taylor Swift,1.0
608,Blase,Ty Dolla $ign,63.0
609,Bleed It Out,Linkin Park,52.0
610,Bleed Red,Ronnie Dunn,62.0
611,Bleeding Love,Leona Lewis,1.0
612,Blem,Drake,38.0
613,Bless The Broken Road,Rascal Flatts,29.0
614,Blessed,Martina McBride,31.0
615,Blessings,Big Sean,28.0
616,Bliss,Tori Amos,91.0
617,Blood On The Leaves,Kanye West,89.0
618,Bloodline,Ariana Grande,22.0
619,Blow,Ke$ha,7.0
620,Blow Me,P!nk,5.0
621,Blowin' Me Up,JC Chasez,35.0
622,Blown Away,Carrie Underwood,20.0
623,Blue,Eiffel 65,6.0
624,Blue Ain't Your Color,Keith Urban,24.0
625,Blue Jeans,Yasmeen,97.0
626,Blue Magic,JAY,55.0
627,Blue Orchid,The White Stripes,43.0
628,Blue Tacoma,Russell Dickerson,52.0
629,Blue Tint,Drake,30.0
630,Blunt Blowin,Lil Wayne,33.0
631,Blurred Lines,Robin Thicke,1.0
632,Blurry,Puddle Of Mudd,5.0
633,Bobby Bitch,Bobby Shmurda,92.0
634,Bodak Yellow,Cardi B,1.0
635,Body,Dreezy,62.0
636,Body,Loud Luxury,80.0
637,Body 2 Body,Ace Hood,65.0
638,Body Language,Jesse McCartney,35.0
639,Body Language,Kid Ink,72.0
640,Body Like A Back Road,Sam Hunt,6.0
641,Body On Me,Nelly,42.0
642,Body Party,Ciara,22.0
643,Bohemian Rhapsody,Panic! At The Disco,64.0
644,Bohemian Rhapsody,Queen,2.0
645,Bon Appetit,Katy Perry,59.0
646,Bonfire,Craig Morgan,57.0
647,Boo'd Up,Ella Mai,5.0
648,Boom,Snoop Dogg,76.0
649,Boom Boom Pow,The Black Eyed Peas,1.0
650,Boom Clap,Charli XCX,8.0
651,Boondocks,Little Big Town,46.0
652,Boots On,Randy Houser,53.0
653,Booty,Blac Youngsta,73.0
654,Bootylicious,Destiny's Child,1.0
655,Bop To The Top,"Lucas Grabeel, Ashley Tisdale",62.0
656,Bored To Death,Blink,85.0
657,Born This Way,Glee Cast,44.0
658,Born This Way,Lady Gaga,1.0
659,Born To Be Yours,"Kygo, Imagine Dragons",74.0
660,Born To Fly,Sara Evans,34.0
661,Boss,The Carters,77.0
662,Bossy,Kelis,16.0
663,Boston,Augustana,34.0
664,Both,Gucci Mane,41.0
665,Both Of Us,B.o.B,18.0
666,Bother,Stone Sour,56.0
667,Bottoms Up,Brantley Gilbert,20.0
668,Bottoms Up,Trey Songz,6.0
669,Boulevard Of Broken Dreams,Green Day,2.0
670,Bounce,Sarah Connor,54.0
671,Bounce Back,Big Sean,6.0
672,Bounce It,Juicy J,74.0
673,Bouncing Off The Ceiling,A*Teens,93.0
674,Bound 2,Kanye West,12.0
675,Bow Chicka Wow Wow,Mike Posner,30.0
