,Name,Artists,Peak.position
676,Boyfriend,Ashlee Simpson,19.0
677,Boyfriend,Big Time Rush,72.0
678,Boyfriend,Justin Bieber,2.0
679,Boyfriend,New Hollow,96.0
680,Boyfriend #2,Pleasure P,42.0
681,Boyfriend/Girlfriend,C,72.0
682,Braid My Hair,Mario,74.0
683,Brand New,Ben Rector,82.0
684,Brand New Girlfriend,Steve Holy,40.0
685,Brave,Sara Bareilles,23.0
686,Break,Three Days Grace,73.0
687,Break Down Here,Julie Roberts,81.0
688,Break Free,Ariana Grande,4.0
689,Break It Off,"Rihanna, Sean Paul",9.0
690,Break On Me.,Keith Urban,54.0
691,Break The Ice,Britney Spears,43.0
692,Break The Rules,Charli XCX,91.0
693,Break Up,Mario,14.0
694,Break Up In A Small Town,Sam Hunt,29.0
695,Break Up In The End,Cole Swindell,49.0
696,Break Up With Him,Old Dominion,44.0
697,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2.0
698,Break Ya Neck,Busta Rhymes,26.0
699,Break Your Heart,Taio Cruz,1.0
700,Breakaway,Kelly Clarkson,6.0
701,Breakeven,The Script,12.0
702,Breaking The Habit,Linkin Park,20.0
703,Breakout,Miley Cyrus,56.0
704,Breath,Breaking Benjamin,84.0
705,Breathe,Anna Nalick,45.0
706,Breathe,Blu Cantrell,70.0
707,Breathe,Fabolous,10.0
708,Breathe,Faith Hill,2.0
709,Breathe,Michelle Branch,36.0
710,Breathe,Telepopmusik,78.0
711,"Breathe, Stretch, Shake",Mase,28.0
712,Breathin,Ariana Grande,12.0
713,Breathless,The Corrs,34.0
714,Bridging The Gap,Nas,94.0
715,Bright,Echosmith,40.0
716,Bright Lights,matchbox twenty,23.0
717,Brighter Than The Sun,Colbie Caillat,47.0
718,Bring Em Out,T.I.,9.0
719,Bring It All To Me,Blaque,5.0
720,Bring It Back,Travis Porter,75.0
721,Bring It On Home,Little Big Town,58.0
722,Bring Me To Life,Evanescence,5.0
723,Bring Out The Freak In You,Lil Rob,85.0
724,Broadway,Goo Goo Dolls,24.0
725,Broken,Lifehouse,83.0
726,Broken,Seether,20.0
727,Broken,lovelytheband,29.0
728,Broken Clocks,SZA,82.0
729,Broken Halos,Chris Stapleton,45.0
730,Brokenhearted,Karmin,16.0
731,Brokenheartsville,Joe Nichols,27.0
732,Brotha,Angie Stone,52.0
733,Brother,NEEDTOBREATHE,98.0
734,Bruises,Train,79.0
735,Bubble Butt,Major Lazer,56.0
736,Bubbly,Colbie Caillat,5.0
737,Budapest,George Ezra,32.0
738,Bug A Boo,Destiny's Child,33.0
739,Bugatti,Ace Hood,33.0
740,Bulletproof,La Roux,8.0
741,Bullets In The Gun,Toby Keith,83.0
742,Bully,Shinedown,94.0
743,"Bump, Bump, Bump","B2K, P. Diddy",1.0
744,Burn,Ellie Goulding,13.0
745,Burn,Jo Dee Messina,42.0
746,Burn,Mobb Deep,99.0
747,Burn,Usher,1.0
748,Burn It Down,Linkin Park,30.0
749,Burn Out,Midland,63.0
750,Burnin' It Down,Jason Aldean,12.0
751,Burnin' Up,Jessie J,86.0
752,Burnin' Up,Jonas Brothers,5.0
753,Burning House,Cam,29.0
754,Burning Man,Dierks Bentley,45.0
755,Bury A Friend,Billie Eilish,14.0
756,Bust Your Windows,Jazmine Sullivan,31.0
757,But For The Grace Of God,Keith Urban,37.0
758,Butterflies,Michael Jackson,14.0
759,Butterfly,Crazy Town,1.0
760,Butterfly Doors,Lil Pump,81.0
761,Butterfly Effect,Travis Scott,50.0
762,Butterfly Fly Away,"Miley Cyrus, Billy Ray Cyrus",56.0
763,Buttons,The Pussycat Dolls,3.0
764,Buy Me A Boat,Chris Janson,41.0
765,Buy Me A Rose,"Kenny Rogers With Alison Krauss, Billy Dean",40.0
766,Buy U A Drank,T,1.0
767,Buzzin',Mann,61.0
768,Buzzkill,Luke Bryan,74.0
769,By The Way,Red Hot Chili Peppers,34.0
770,By Your Side,Sade,75.0
771,Bye Bye,Mariah Carey,19.0
772,Bye Bye Bye,'N Sync,4.0
773,C'mon,Ke$ha,27.0
774,CRZY,Kehlani,85.0
775,Cake,"Flo Rida, 99 Percent",73.0
776,Cake By The Ocean,DNCE,9.0
777,Calabria 2008,Enur,46.0
778,California Gurls,Katy Perry,1.0
779,California King Bed,Rihanna,37.0
780,Californication,Red Hot Chili Peppers,69.0
781,Call It What You Want,Taylor Swift,27.0
782,Call Me,Tweet,31.0
783,Call Me Maybe,Carly Rae Jepsen,1.0
784,Call Me When You're Sober,Evanescence,10.0
785,Call My Name,Prince,75.0
786,Call On Me,"Janet, Nelly",25.0
787,Call On Me,Starley,65.0
788,Call Out My Name,The Weeknd,4.0
789,Call You Mine,"The Chainsmokers, Bebe Rexha",67.0
790,Callaita,"Bad Bunny, Tainy",68.0
791,Calling All Angels,Train,19.0
792,Calling All The Monsters,China Anne McClain,86.0
793,Calling My Spirit,Kodak Black,46.0
794,Calma,"Pedro Capo, Farruko",71.0
795,Came Here To Forget,Blake Shelton,36.0
796,Camouflage,Brad Paisley,87.0
797,Can I Have It Like That,Pharrell,49.0
798,Can I Have This Dance,"Zac Efron, Vanessa Hudgens",98.0
799,Can U Believe,Robin Thicke,99.0
800,Can't Be Broken,Lil Wayne,17.0
801,Can't Be Friends,Trey Songz,43.0
802,Can't Be Tamed,Miley Cyrus,8.0
803,Can't Believe,Faith Evans,56.0
804,Can't Believe It,T,7.0
805,Can't Deny It,Fabolous,25.0
806,Can't Feel My Face,The Weeknd,1.0
807,Can't Fight The Moonlight,LeAnn Rimes,11.0
808,Can't Get Enough,J. Cole,52.0
809,Can't Get You Out Of My Head,Kylie Minogue,7.0
810,Can't Go For That,Tamia,84.0
811,Can't Have Everything,Drake,82.0
812,Can't Help But Wait,Trey Songz,14.0
813,Can't Hold Us,"Macklemore, Ryan Lewis",1.0
814,Can't Hold Us Down,Christina Aguilera,12.0
815,Can't Leave 'Em Alone,Ciara,40.0
816,Can't Leave Without It,21 Savage,58.0
817,Can't Let Go,Anthony Hamilton,71.0
818,Can't Let You Go,Fabolous,4.0
819,Can't Nobody,Kelly Rowland,97.0
820,Can't Raise A Man,K. Michelle,94.0
821,Can't Remember To Forget You,Shakira,15.0
822,Can't Say,Travis Scott,38.0
823,Can't Shake You,Gloriana,83.0
824,Can't Stay,Dave Hollister,84.0
825,Can't Stop,Red Hot Chili Peppers,57.0
826,Can't Stop Dancin',Becky G,88.0
827,Can't Stop Loving You,Phil Collins,76.0
828,Can't Stop The Feeling!,Justin Timberlake,1.0
829,"Can't Stop, Won't Stop",Young Gunz,14.0
830,Can't Take A Joke,Drake,18.0
831,Can't Tell Me Nothing,Kanye West,41.0
832,Canadian Idiot,"""Weird Al"" Yankovic",82.0
833,Candle,The White Tie Affair,57.0
834,Candy,Mandy Moore,41.0
835,Candy Paint,Post Malone,34.0
836,Candy Shop,50 Cent,1.0
837,Candyman,Christina Aguilera,25.0
838,Capsize,"Frenship, Emily Warren",78.0
839,Car Wash,Christina Aguilera,63.0
840,Caramel,City High,18.0
841,Careless Whisper,Seether,63.0
842,Careless Whisper,Wham!,1.0
843,Carlene,Phil Vassar,45.0
844,Carolina,Parmalee,36.0
845,Caroline,Amine,11.0
846,Carousel,Travis Scott,24.0
847,Carry On,fun.,20.0
848,Carry Out,Timbaland,11.0
849,Case Of The Ex,Mya,2.0
850,Cash Me Outside,DJ Suede The Remix God,72.0
851,Castaway,Zac Brown Band,96.0
852,Castle On The Hill,Ed Sheeran,6.0
853,Castles In The Sky,Ian Van Dahl,91.0
854,Catch My Breath,Kelly Clarkson,19.0
855,Cater 2 U,Destiny's Child,14.0
856,Caught Out There,Kelis,54.0
857,Caught Up,Usher,8.0
858,Cecilia And The Satellite,Andrew McMahon In The Wilderness,96.0
859,Celebration,Game,81.0
860,Celebrity,Brad Paisley,31.0
861,Centuries,Fall Out Boy,10.0
862,Ch,Check It Out,68.0
863,Cha,Cha Slide,83.0
864,Chain Hang Low,Jibbs,7.0
865,Chained To The Rhythm,Katy Perry,4.0
866,Chains,Nick Jonas,13.0
867,Chainsaw,The Band Perry,86.0
868,Champagne Life,Ne,75.0
869,Chandelier,Sia,8.0
870,Chanel,Young Thug,78.0
871,Change,J. Cole,21.0
872,Change,Taylor Swift,10.0
873,Change Clothes,JAY,10.0
874,Change Locations,"Drake, Future",82.0
875,Change The Game,Jay,86.0
876,Change Your Mind,Sister Hazel,59.0
877,Changed,Rascal Flatts,73.0
878,Changes,XXXTENTACION,18.0
879,Chantaje,Shakira,51.0
880,Chante's Got A Man,Chante Moore,10.0
881,Chariot,Gavin DeGraw,30.0
882,Charlene,Anthony Hamilton,19.0
883,Chasing Cars,Snow Patrol,5.0
884,Chasing Pavements,Adele,21.0
885,Chasing The Sun,The Wanted,50.0
886,Cheap Thrills,Sia,1.0
887,Cheatin',Sara Evans,69.0
888,Check It Out,"will.i.am, Nicki Minaj",24.0
889,Check My Brain,Alice In Chains,92.0
890,Check On It,Beyonce,1.0
891,Check Yes Juliet,WE the Kings,70.0
892,Cheers,Rihanna,7.0
893,Chemicals React,"Aly, AJ",50.0
894,Cheyenne,Jason Derulo,66.0
895,Chicken Fried,Zac Brown Band,20.0
896,Chicken Noodle Soup.,"Webstar, Young B",45.0
897,Chickenhead,Project Pat,87.0
898,Chicks Dig It,Chris Cagle,53.0
899,Chill Bill,Rob $tone,29.0
900,Chillin' It,Cole Swindell,28.0
901,Chinese Democracy,Guns N' Roses,34.0
902,Chocolate,The 1975,80.0
903,Chop Suey,System Of A Down,76.0
904,Choppa Style,Choppa,94.0
905,Christmas,Darlene Love,43.0
906,Christmas Lights,Coldplay,25.0
907,Chrome,Trace Adkins,74.0
908,Chun-li,Nicki Minaj,10.0
909,Church Bells,Carrie Underwood,43.0
910,Circle,Marques Houston,78.0
911,Circus,Britney Spears,3.0
912,Citizen/Soldier,3 Doors Down,96.0
913,Clap Back,Ja Rule,44.0
914,Clarity,Zedd,8.0
915,Classic,MKTO,14.0
916,Classic Man,Jidenna,22.0
917,Cleanin' Out My Closet,Eminem,4.0
918,Cleaning This Gun,Rodney Atkins,40.0
919,Climax,Usher,17.0
920,Clint Eastwood,Gorillaz,57.0
921,Clique,"Kanye West, Jay",12.0
922,Clocks,Coldplay,29.0
923,Close,Nick Jonas,14.0
924,Close Friends,Lil Baby,28.0
925,Close To Me,"Ellie Goulding, Diplo",24.0
926,Close Your Eyes,Parmalee,69.0
927,Closer,Ne,7.0
928,Closer,Tegan And Sara,90.0
929,Closer,The Chainsmokers,1.0
930,Closer To Love,Mat Kearney,91.0
931,Closet Freak,Cee,98.0
932,Clouds,Zach Sobiech,26.0
933,Clout,Offset,39.0
934,Club Can't Handle Me,Flo Rida,9.0
935,Clubbin,Marques Houston,39.0
936,Clumsy,Fergie,5.0
937,CoCo,O.T. Genasis,20.0
938,Cochise,Audioslave,69.0
939,Codeine Dreaming,Kodak Black,52.0
940,Coffee,Miguel,78.0
941,Cold,Crossfade,81.0
942,Cold,Maroon 5,16.0
943,Cold Day In July,Dixie Chicks,65.0
944,Cold Hard Bitch,Jet,55.0
945,Cold One,Eric Church,88.0
946,Colder Weather,Zac Brown Band,29.0
947,Collard Greens,ScHoolboy Q,92.0
948,Collide,Howie Day,20.0
949,Come A Little Closer,Dierks Bentley,31.0
950,Come And See Me,PARTYNEXTDOOR,55.0
951,Come Back Song,Darius Rucker,37.0
952,Come Back To Me,David Cook,63.0
953,Come Back To Me,Vanessa Hudgens,55.0
954,Come Clean,Hilary Duff,35.0
955,Come Get Her,Rae Sremmurd,56.0
956,Come Get It Bae,Pharrell Williams,23.0
957,Come Home Soon,SHeDAISY,75.0
958,Come Into My World,Kylie Minogue,91.0
959,Come On Get Higher,Matt Nathanson,59.0
960,Come On Over,Jessica Simpson,65.0
961,Come On Over,Shania Twain,58.0
962,Come Over,Aaliyah,32.0
963,Come Over,Kenny Chesney,23.0
964,Come To Me,Diddy,9.0
965,Come Wake Me Up,Rascal Flatts,52.0
966,Come With Me Now,KONGOS,31.0
967,Comfortable,K Camp,54.0
968,Comin Out Strong,Future,48.0
969,Comin' To Your City,"Big, Rich",72.0
970,Coming Home,Diddy,11.0
971,Coming Home,Keith Urban,50.0
972,Coming Undone,Korn,79.0
973,Commas,Future,55.0
974,Company,Justin Bieber,53.0
975,Compass,Lady Antebellum,46.0
976,Complicated,Avril Lavigne,2.0
977,Con Calma,"Daddy Yankee, Katy Perry",22.0
978,Conceited,Remy Ma,90.0
979,Concrete Angel,Martina McBride,47.0
980,Confession,Florida Georgia Line,53.0
981,Confessions Part II,Usher,1.0
982,Confident,Demi Lovato,21.0
983,Confident,Justin Bieber,41.0
984,Congratulations,Post Malone,8.0
985,Conqueror,Empire Cast,42.0
986,Consequences,Camila Cabello,51.0
987,Consider Me Gone,Reba,38.0
988,Control,Puddle Of Mudd,68.0
989,Control Myself,LL Cool J,4.0
990,Controlla,Drake,16.0
991,Cookie Jar,Gym Class Heroes,59.0
992,Cool,Gwen Stefani,13.0
993,Cool,Jonas Brothers,27.0
994,Cool For The Summer,Demi Lovato,11.0
995,Cool Girl,Tove Lo,84.0
996,Cool Kids,Echosmith,13.0
997,Cooler Than Me,Mike Posner,6.0
998,Cop Car,Keith Urban,41.0
999,Corazon,"Maluma, Nego do Borel",87.0
1000,Corona And Lime,Shwayze,23.0
1001,Cost Of Livin',Ronnie Dunn,86.0
1002,Cough Syrup,Young The Giant,95.0
1003,Could I Have This Kiss Forever,"Whitney Houston, Enrique Iglesias",52.0
1004,Could It Be,Charlie Worsham,94.0
1005,Could It Be,Jaheim,26.0
1006,Couldn't Last A Moment,Collin Raye,43.0
1007,Countdown,Beyonce,71.0
1008,Counting Stars,OneRepublic,2.0
1009,Country Boy,Aaron Lewis,87.0
1010,Country Boy,Alan Jackson,49.0
1011,Country Comes To Town,Toby Keith,54.0
1012,Country Girl,Luke Bryan,22.0
1013,Country Grammar,Nelly,7.0
1014,Country Man,Luke Bryan,74.0
1015,Country Must Be Country Wide,Brantley Gilbert,50.0
1016,Country Nation,Brad Paisley,94.0
1017,Country Song,Seether,72.0
1018,Country Strong,Gwyneth Paltrow,81.0
1019,Cowboy,Kid Rock,82.0
1020,Cowboy Casanova,Carrie Underwood,11.0
1021,Cowboy Take Me Away,Dixie Chicks,27.0
1022,Cowboys And Angels,Dustin Lynch,40.0
1023,Cowboys Like Us,George Strait,38.0
1024,Cowgirls Don't Cry,"Brooks, Dunn",44.0
1025,Cozy Little Christmas,Katy Perry,53.0
1026,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",1.0
1027,Cranes In The Sky,Solange,74.0
1028,Crank That,Soulja Boy Tell'em,1.0
1029,Crash,Gwen Stefani,49.0
1030,Crash And Burn,Savage Garden,24.0
1031,Crash And Burn,Thomas Rhett,36.0
1032,Crash My Party,Luke Bryan,18.0
1033,Craving You,Thomas Rhett,39.0
1034,Crawl,Chris Brown,53.0
1035,Crawling,Linkin Park,79.0
1036,Crawling Back To You,Daughtry,41.0
1037,Crawling In The Dark,Hoobastank,68.0
1038,Crazier,Taylor Swift,17.0
1039,Crazy,Britney Spears,10.0
1040,Crazy,Gnarls Barkley,2.0
1041,Crazy,Javier,95.0
1042,Crazy,K,11.0
1043,Crazy Bitch,Buckcherry,59.0
1044,Crazy For This Girl,Evan And Jaron,15.0
1045,Crazy Girl,Eli Young Band,30.0
1046,Crazy In Love,Beyonce,1.0
1047,Crazy Little Thing Called Love,Dwight Yoakam,64.0
1048,Crazy Town,Jason Aldean,51.0
1049,Crew,GoldLink,45.0
1050,Crew Love,Drake,80.0
1051,Criminal,Britney Spears,55.0
1052,Criminal,"Natti Natasha, Ozuna",95.0
1053,Crooked Smile,J. Cole,27.0
1054,Cross Me,Ed Sheeran,34.0
1055,Cross The Border,Philly's Most Wanted,98.0
1056,Crowded,Jeannie Ortega,93.0
1057,Cruise,Florida Georgia Line,4.0
1058,Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",82.0
1059,Crush,David Archuleta,2.0
1060,Crush Tonight,Fat Joe,77.0
1061,Crushed Up,Future,43.0
1062,Crushin' It,Brad Paisley,66.0
1063,Cry,Faith Hill,33.0
1064,Cry For You,September,74.0
1065,Cry Me A River,Justin Timberlake,3.0
1066,Cry Pretty,Carrie Underwood,48.0
1067,Crybaby,Mariah Carey,28.0
1068,Cryin' For Me,Toby Keith,73.0
1069,Crying In The Club,Camila Cabello,47.0
1070,Crying On A Suitcase,Casey James,88.0
1071,Crying Out For Me,Mario,33.0
1072,Cuando Me Enamoro,Enrique Iglesias,89.0
1073,Cuddy Buddy,Mike Jones,76.0
1074,Culo,Pitbull,32.0
1075,Cupid Shuffle,Cupid,66.0
1076,Cups,Anna Kendrick,6.0
1077,Curve,Gucci Mane,67.0
1078,Customer,Raheem DeVaughn,76.0
1079,Cut Her Off,KCamp,49.0
1080,Cut It,O.T. Genasis,35.0
1081,Cyclone,Baby Bash,7.0
1082,DJ Got Us Fallin' In Love,Usher,4.0
1083,DJ Play A Love Song,Jamie Foxx,45.0
1084,DNA,BTS,67.0
1085,DNA.,Kendrick Lamar,4.0
1086,DOA,Foo Fighters,68.0
1087,DONE.,The Band Perry,43.0
1088,Daddy Lessons,Beyonce,41.0
1089,Daddy Won't Sell The Farm,Montgomery Gentry,79.0
1090,Damaged,Danity Kane,10.0
1091,Damaged,TLC,53.0
1092,Dame Tu Cosita,"Pitbull, El Chombo, Karol G",36.0
1093,Damn!,YoungBloodZ,4.0
1094,Dance,Big Sean,10.0
1095,Dance Again,Jennifer Lopez,17.0
1096,Dance For You,Beyonce,78.0
1097,Dance Tonight,Lucy Pearl,36.0
1098,Dance Tonight,Paul McCartney,69.0
1099,Dance With Me,112,39.0
1100,Dance With Me,Debelah Morgan,8.0
1101,Dance With My Father,Luther Vandross,38.0
1102,"Dance, Dance",Fall Out Boy,9.0
1103,Dancin',Guy,19.0
1104,Dancin' Away With My Heart,Lady Antebellum,46.0
1105,Dancing On My Own,Calum Scott,93.0
1106,Dancing Queen,A*Teens,95.0
1107,Dancing With A Stranger,"Sam Smith, Normani",7.0
1108,Danger,Erykah Badu,82.0
1109,Danger,Mystikal,14.0
1110,Dangerous,David Guetta,56.0
1111,Dangerous,Kardinal Offishall,5.0
1112,Dangerous,Meek Mill,31.0
1113,Dangerous Woman,Ariana Grande,8.0
1114,Dangerously In Love,Beyonce,57.0
1115,Dani California,Red Hot Chili Peppers,6.0
1116,Danza Kuduro,"Don Omar, Lucenzo",82.0
1117,Dare,Gorillaz,87.0
1118,Dare,Shakira,53.0
1119,Dare You To Move,Switchfoot,17.0
1120,Dark Horse,Katy Perry,1.0
1121,Dark Knight Dummo,Trippie Redd,72.0
1122,Dark Necessities,Red Hot Chili Peppers,67.0
1123,Dark Queen,Lil Uzi Vert,91.0
1124,Dark Side,Kelly Clarkson,42.0
1125,Dark Times,The Weeknd,91.0
1126,Darte Un Beso,Prince Royce,78.0
1127,Dashboard,Modest Mouse,61.0
1128,Daughters,John Mayer,19.0
1129,Day Drinking,Little Big Town,40.0
1130,Daylight,Maroon 5,7.0
1131,Daylight,Matt And Kim,95.0
1132,Days Go By,Dirty Vegas,14.0
1133,Days Go By,Keith Urban,31.0
1134,Days Of Gold,Jake Owen,83.0
1135,Dead And Gone,T.I.,2.0
1136,Dear Future Husband,Meghan Trainor,14.0
1137,Dear Lie,TLC,51.0
1138,Deck The Halls,SHeDAISY,61.0
1139,Decode,Paramore,33.0
1140,Dedicate,Lil Wayne,14.0
1141,Dedication,Nipsey Hussle,93.0
1142,Dedication To My Ex,Lloyd,79.0
1143,Deep Inside,Mary J. Blige,63.0
1144,Deep Inside Of You,Third Eye Blind,69.0
1145,Defy You,The Offspring,77.0
1146,Defying Gravity,Glee Cast,31.0
1147,Deja Vu,Beyonce,4.0
1148,Deja Vu,J. Cole,7.0
1149,Deja Vu,Post Malone,75.0
1150,Delicate,Taylor Swift,12.0
1151,Delirious,"Steve Aoki, Chris Lake, Tujamo",90.0
1152,Dem Boyz,Boyz N Da Hood,56.0
1153,Dem Jeans,Chingy,59.0
1154,Demons,Imagine Dragons,6.0
1155,Demons And Angels,A Boogie Wit da Hoodie,90.0
1156,Desert Rose,Sting,17.0
1157,Despacito,"Luis Fonsi, Daddy Yankee",1.0
1158,Desperate Man,Eric Church,68.0
1159,Desperately,George Strait,44.0
1160,Dessert,Dawin,68.0
1161,Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott, Hayley Kiyoko",51.0
1162,Deuces,Chris Brown,14.0
1163,Dey Know,Shawty Lo,31.0
1164,Diamond Girl,Ryan Leslie,95.0
1165,Diamond In The Back,Ludacris,94.0
1166,Diamond Teeth Samurai,YoungBoy Never Broke Again,59.0
1167,Diamonds,Rihanna,1.0
1168,Diamonds Dancing,"Drake, Future",53.0
1169,Diamonds From Sierra Leone,Kanye West,43.0
1170,Diary,Alicia Keys,8.0
1171,Dibs,Kelsea Ballerini,58.0
1172,Diced Pineapples,Rick Ross,71.0
1173,Did It For The Girl,Greg Bates,66.0
1174,Did It On'em,Nicki Minaj,49.0
1175,Did My Time,Korn,38.0
1176,Did You Ever Think,R. Kelly,27.0
1177,Did You Wrong,Pleasure P,90.0
1178,Didn't You Know How Much I Loved You,Kellie Pickler,97.0
1179,Die A Happy Man,Thomas Rhett,21.0
1180,Die For You,The Weeknd,43.0
1181,Die In Your Arms,Justin Bieber,17.0
1182,Die Young,Ke$ha,2.0
1183,Die Young,Roddy Ricch,99.0
1184,Differences,Ginuwine,4.0
1185,Different For Girls,Dierks Bentley,42.0
1186,Dig,Incubus,94.0
1187,Dig In,Lenny Kravitz,31.0
1188,Digital Dash,"Drake, Future",62.0
1189,Dilemma,Nelly,1.0
1190,Dip,"Tyga, Nicki Minaj",63.0
1191,Dip It Low,Christina Milian,5.0
1192,Diplomatic Immunity,Drake,7.0
1193,Dirrty,Christina Aguilera,48.0
1194,Dirt,Florida Georgia Line,11.0
1195,Dirt Off Your Shoulder,JAY,5.0
1196,Dirt On My Boots,Jon Pardi,37.0
1197,Dirt Road Anthem,Jason Aldean,7.0
1198,Dirty Dancer,Enrique Iglesias With Usher,18.0
1199,Dirty Laundry,Carrie Underwood,48.0
1200,Dirty Little Secret,The All,9.0
1201,Disco Inferno,50 Cent,3.0
1202,Disease,matchbox twenty,29.0
1203,Disturbia,Rihanna,1.0
1204,Diva,Beyonce,19.0
1205,Dive,Ed Sheeran,49.0
1206,Dive In,Trey Songz,77.0
1207,Do I,Luke Bryan,34.0
1208,Do I Make You Proud,Taylor Hicks,1.0
1209,Do I Make You Wanna,Billy Currington,47.0
1210,Do I Wanna Know?,Arctic Monkeys,70.0
1211,Do It Again,Jay,65.0
1212,Do It Again,Pia Mia,71.0
1213,Do It Like Me,DLOW,45.0
1214,Do It Like You,Diggy,80.0
1215,Do It Well,Jennifer Lopez,31.0
1216,Do Not Disturb,Drake,60.0
1217,Do Re Mi,blackbear,40.0
1218,Do That...,Baby,33.0
1219,Do The John Wall,Troop 41,76.0
1220,Do What U Want,Lady Gaga,13.0
1221,Do What You Gotta Do,Garth Brooks,69.0
1222,Do You,Ne,26.0
1223,Do You Believe Me Now,Jimmy Wayne,36.0
1224,Do You Mind,DJ Khaled,27.0
1225,Do You Remember,Jay Sean,10.0
1226,Do You Want Fries With That,Tim McGraw,59.0
1227,Do You Want To,Franz Ferdinand,76.0
1228,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn, Katie Lopez",51.0
1229,Doe Boy Fresh,Three 6 Mafia,54.0
1230,Doesn't Mean Anything,Alicia Keys,60.0
1231,Doesn't Really Matter,Janet,1.0
1232,Doesn't Remind Me,Audioslave,68.0
1233,Dog Days Are Over,Florence + The Machine,21.0
1234,Doin' What She Likes,Blake Shelton,35.0
1235,Doing Too Much,Paula DeAnda,41.0
1236,Domino,Jessie J,6.0
1237,Don't,Billy Currington,52.0
1238,Don't,Bryson Tiller,13.0
1239,Don't,Ed Sheeran,9.0
1240,Don't Ask Me How I Know,Bobby Pinson,88.0
1241,Don't Blink,Kenny Chesney,29.0
1242,Don't Bother,Shakira,42.0
1243,Don't Call Me Baby,Madison Avenue,88.0
1244,Don't Call Me Up,Mabel,66.0
1245,Don't Cha,The Pussycat Dolls,2.0
1246,Don't Come Out The House,Metro Boomin,38.0
1247,Don't Cry,Lil Wayne,5.0
1248,Don't Dream It's Over,Sixpence None The Richer,78.0
1249,Don't Forget,Demi Lovato,41.0
1250,Don't Forget About Us,Mariah Carey,1.0
1251,Don't Forget To Remember Me,Carrie Underwood,49.0
1252,Don't Go Breaking My Heart,Backstreet Boys,63.0
1253,Don't Happen Twice,Kenny Chesney,26.0
1254,Don't Hurt Yourself,Beyonce,28.0
1255,Don't It,Billy Currington,44.0
1256,Don't Judge Me,Chris Brown,67.0
1257,Don't Know Why,Norah Jones,30.0
1258,Don't Let Me Be Lonely,The Band Perry,59.0
1259,Don't Let Me Down,The Chainsmokers,3.0
1260,Don't Let Me Get Me,P!nk,8.0
1261,Don't Lie,The Black Eyed Peas,14.0
1262,Don't Make Me,Blake Shelton,79.0
1263,Don't Matter,Akon,1.0
1264,Don't Matter To Me,Drake,9.0
1265,Don't Mess With My Man,Nivea,8.0
1266,Don't Mess With The Radio,Nivea,90.0
1267,Don't Mind,Kent Jones,8.0
1268,Don't Phunk With My Heart,The Black Eyed Peas,3.0
1269,Don't Rush,Kelly Clarkson,87.0
1270,Don't Say Goodbye,Paulina Rubio,41.0
1271,"Don't Say No, Just Say Yes",Avant,96.0
1272,Don't Say You Love Me,M2M,21.0
1273,Don't Stop,5 Seconds Of Summer,47.0
1274,Don't Stop Believin',Glee Cast,4.0
1275,Don't Stop The Music,Rihanna,3.0
1276,Don't Stop The Party,Pitbull,17.0
1277,Don't Stop The Party,The Black Eyed Peas,86.0
1278,Don't Take Your Love Away,Avant,37.0
1279,Don't Talk,Jon B,58.0
1280,Don't Tell 'Em,Jeremih,6.0
1281,Don't Tell Me,Avril Lavigne,22.0
1282,Don't Tell Me,Madonna,4.0
1283,Don't Think I Can't Love You,Jake Owen,57.0
1284,Don't Think I Don't Think About It,Darius Rucker,35.0
1285,Don't Think I'm Not,Kandi,24.0
1286,Don't Think They Know,Chris Brown,81.0
1287,Don't Trust Me,3OH!3,7.0
1288,Don't Wait,Dashboard Confessional,80.0
1289,Don't Wake Me Up,Chris Brown,10.0
1290,Don't Wanna Go Home,Jason Derulo,14.0
1291,Don't Wanna Know,Maroon 5,6.0
1292,Don't Wanna Try,Frankie J,19.0
1293,Don't Worry 'Bout A Thing,SHeDAISY,59.0
1294,Don't Ya,Brett Eldredge,30.0
1295,Don't You Forget It,Glenn Lewis,30.0
1296,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,31.0
1297,Don't You Worry Child,Swedish House Mafia,6.0
1298,Donald Trump,Mac Miller,75.0
1299,Done For Me,Charlie Puth,53.0
1300,Dope,Lady Gaga,8.0
1301,Dope,Tyga,68.0
1302,Double Up,Nipsey Hussle,65.0
1303,Double Vision,3OH!3,87.0
1304,Down,Fifth Harmony,42.0
