,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
312,Arms Around You,"XXXTENTACION, Lil Pump",2018,28,28.0,1.0,1,98,17.0,98,17.0
313,Around The World,ATC,2001,53,28.0,8.0,1,97,18.0,97,18.0
314,As Good As I Once Was,Toby Keith,2005,80,28.0,10.0,1,80,1.0,66,20.0
315,As If,Sara Evans,2007,74,62.0,2.0,1,87,10.0,87,10.0
316,As Long As You Love Me,Justin Bieber,2012,21,6.0,13.0,5,87,2.0,39,29.0
317,As She's Walking Away,Zac Brown Band,2010,77,32.0,14.0,1,99,2.0,61,20.0
318,As We Lay,Kelly Price,2000,82,64.0,4.0,1,89,8.0,89,8.0
319,As Your Friend,Afrojack,2013,88,88.0,1.0,1,95,3.0,95,3.0
320,Ashes By Now,Lee Ann Womack,2000,74,45.0,12.0,2,93,17.0,93,17.0
321,Ask Me How I Know,Garth Brooks,2017,98,71.0,6.0,1,98,1.0,94,7.0
322,Ass Back Home,Gym Class Heroes,2011,100,12.0,8.0,1,100,1.0,50,23.0
323,Ass Like That,Eminem,2005,83,60.0,3.0,1,98,7.0,98,7.0
324,Aston Martin Music,Rick Ross,2010,98,30.0,12.0,1,98,1.0,72,20.0
325,At My Best,Machine Gun Kelly,2017,88,60.0,5.0,1,98,3.0,87,8.0
326,At The Club,"Jacquees, Dej Loaf",2018,92,86.0,3.0,3,96,7.0,96,7.0
327,Atlas,Coldplay,2013,75,69.0,2.0,1,75,1.0,69,2.0
328,Attention,Charlie Puth,2017,68,5.0,16.0,3,68,1.0,48,39.0
329,Attention,The Weeknd,2016,67,67.0,1.0,1,96,2.0,96,2.0
330,Auld Lang Syne,Kenny G,1999,89,7.0,3.0,1,89,1.0,66,5.0
331,Austin,Blake Shelton,2001,98,18.0,15.0,1,98,1.0,41,20.0
332,Automatic,Miranda Lambert,2014,63,35.0,16.0,1,97,2.0,97,19.0
333,Aw Naw,Chris Young,2013,97,45.0,14.0,1,97,1.0,92,20.0
334,Away From Me,Puddle Of Mudd,2003,74,72.0,5.0,2,99,16.0,99,16.0
335,Away From The Sun,3 Doors Down,2004,66,62.0,9.0,1,95,15.0,95,15.0
336,"Awful, Beautiful Life",Darryl Worley,2004,72,30.0,11.0,1,96,20.0,96,20.0
337,Awnaw,Nappy Roots,2002,97,51.0,11.0,2,97,1.0,97,20.0
338,Axel F,Crazy Frog,2005,80,50.0,4.0,1,97,7.0,97,7.0
339,Ay Chico,Pitbull,2006,97,92.0,2.0,1,99,6.0,99,6.0
340,Ayo,"Chris Brown, Tyga",2015,40,21.0,12.0,1,72,2.0,59,20.0
341,Ayo Technology,50 Cent,2007,22,5.0,5.0,1,67,19.0,67,19.0
342,Ayy Ladies,Travis Porter,2012,88,53.0,9.0,2,100,19.0,100,19.0
343,B,Please,1999,81,77.0,4.0,2,97,9.0,97,9.0
344,B R Right,Trina,2003,98,83.0,7.0,4,99,14.0,99,14.0
345,B.E.D.,Jacquees,2017,94,69.0,5.0,2,97,12.0,93,13.0
346,B.Y.O.B.,System Of A Down,2005,74,27.0,8.0,1,83,3.0,81,20.0
347,BAD!,XXXTENTACION,2018,16,16.0,1.0,1,97,11.0,97,11.0
348,BBO,Migos,2018,48,48.0,1.0,1,89,2.0,89,2.0
349,BEBE,6ix9ine,2018,30,30.0,1.0,1,88,4.0,86,5.0
350,Babe,Sugarland,2018,72,72.0,1.0,1,95,2.0,95,2.0
351,Babel,"Mumford, Sons",2012,60,60.0,1.0,1,97,5.0,97,5.0
352,Baby,Ashanti,2002,74,15.0,14.0,2,74,1.0,48,22.0
353,Baby,Fabolous,2005,83,71.0,3.0,1,92,9.0,92,9.0
354,Baby,Justin Bieber,2010,5,5.0,1.0,1,52,20.0,52,20.0
355,Baby,LL Cool J,2008,97,52.0,3.0,1,97,1.0,97,11.0
356,Baby Be My Love Song,Easton Corbin,2015,99,56.0,13.0,1,99,1.0,92,16.0
357,Baby Boy,Beyonce,2003,57,1.0,8.0,9,57,1.0,47,29.0
358,Baby By Me,50 Cent,2009,31,28.0,3.0,1,98,13.0,98,13.0
359,Baby Don't Go,Fabolous,2007,81,23.0,9.0,1,87,20.0,87,20.0
360,Baby Don't Lie,Gwen Stefani,2014,46,46.0,1.0,1,98,6.0,98,6.0
361,Baby Girl,Sugarland,2004,99,38.0,17.0,1,99,1.0,53,20.0
362,Baby I,Ariana Grande,2013,21,21.0,1.0,1,94,2.0,60,3.0
363,Baby I Love U,Jennifer Lopez,2004,72,72.0,1.0,1,98,4.0,98,4.0
364,Baby Mama,Fantasia,2005,99,60.0,7.0,1,99,1.0,88,11.0
365,Baby Shark,Pinkfong,2019,32,32.0,1.0,1,62,19.0,57,20.0
366,Baby U Are,Gerald Levert,2000,96,89.0,2.0,1,96,1.0,96,5.0
367,"Baby, It's Cold Outside",Glee Cast,2010,57,57.0,1.0,1,99,2.0,99,2.0
368,Babylon,David Gray,2000,73,57.0,11.0,1,97,18.0,97,18.0
369,Bacc At It Again,"Yella Beezy, Gucci Mane, Quavo",2019,94,78.0,5.0,1,98,2.0,78,5.0
370,Back At One,Brian McKnight,1999,75,2.0,13.0,8,75,1.0,48,37.0
371,Back At One,Mark Wills,2000,89,36.0,7.0,1,99,18.0,99,20.0
372,Back Here,BBMak,2000,99,13.0,14.0,1,99,1.0,49,31.0
373,Back In Time,Pitbull,2012,79,11.0,9.0,1,83,2.0,79,20.0
374,Back It Up,Prince Royce,2015,92,92.0,1.0,1,98,2.0,98,2.0
375,Back Like That,Ghostface Killah,2006,76,61.0,7.0,1,94,4.0,85,10.0
376,Back Then,Mike Jones,2005,91,22.0,10.0,1,91,1.0,76,20.0
377,Back To Back,Drake,2015,21,21.0,1.0,1,74,20.0,74,20.0
378,Back To December,Taylor Swift,2010,6,6.0,1.0,1,74,3.0,37,20.0
379,Back To Sleep,Chris Brown,2016,64,20.0,12.0,1,70,20.0,70,20.0
380,Back To You,Louis Tomlinson,2017,40,40.0,1.0,1,88,10.0,88,10.0
381,Back To You,Selena Gomez,2018,50,18.0,19.0,1,50,1.0,47,26.0
382,Back Up,DeJ Loaf,2015,83,47.0,8.0,2,96,18.0,96,18.0
383,Back When,Tim McGraw,2004,74,30.0,10.0,1,99,19.0,99,19.0
384,Back When I Knew It All,Montgomery Gentry,2008,98,56.0,12.0,3,98,1.0,97,18.0
385,Backin' It Up,Pardison Fontaine,2018,92,40.0,15.0,1,95,2.0,48,20.0
386,Backroad Song,Granger Smith,2015,93,49.0,10.0,1,94,16.0,94,16.0
387,Backseat,New Boyz,2011,37,26.0,11.0,2,91,20.0,91,20.0
388,Backwoods,Justin Moore,2010,100,69.0,10.0,1,100,1.0,99,13.0
389,Bad And Boujee,Migos,2016,76,1.0,8.0,3,76,1.0,45,36.0
390,Bad At Love,Halsey,2017,81,5.0,19.0,1,81,1.0,50,32.0
391,Bad Blood,Taylor Swift,2014,80,1.0,4.0,1,80,1.0,49,25.0
392,Bad Boy For Life,"P. Diddy, Black Rob, Mark Curry",2001,70,33.0,7.0,1,85,12.0,85,12.0
393,Bad Boyz,Shyne,2000,94,57.0,8.0,1,100,15.0,100,15.0
394,Bad Day,Alvin And The Chipmunks,2008,67,67.0,1.0,1,79,2.0,79,2.0
395,Bad Day,Daniel Powter,2006,55,1.0,7.0,5,55,1.0,49,31.0
396,Bad Day,Fuel,2001,73,64.0,4.0,2,99,19.0,99,19.0
397,Bad For You,Meek Mill,2015,96,78.0,2.0,1,96,1.0,78,2.0
398,Bad Girlfriend,Theory Of A Deadman,2008,98,75.0,4.0,1,100,9.0,98,17.0
399,Bad Guy,Billie Eilish,2019,7,2.0,9.0,3,11,2.0,3,13.0
400,Bad Habits,Maxwell,2009,96,71.0,11.0,1,99,14.0,99,14.0
401,Bad Idea,Ariana Grande,2019,27,27.0,1.0,1,90,3.0,90,3.0
402,Bad Liar,Imagine Dragons,2018,79,56.0,5.0,1,85,9.0,85,9.0
403,Bad Liar,Selena Gomez,2017,80,20.0,6.0,1,83,14.0,83,14.0
404,Bad Romance,Glee Cast,2010,86,54.0,2.0,1,86,1.0,54,2.0
405,Bad Romance,Lady Gaga,2009,9,2.0,4.0,7,50,34.0,50,35.0
406,Bad Things,"Machine Gun Kelly, Camila Cabello",2016,80,4.0,13.0,2,80,1.0,50,23.0
407,Badaboom,B2K,2003,91,59.0,4.0,3,91,1.0,86,8.0
408,Bag Lady,Erykah Badu,2000,67,6.0,8.0,1,67,1.0,66,20.0
409,Bag Of Money,Wale,2012,93,64.0,8.0,1,95,13.0,95,13.0
410,Baggage Claim,Miranda Lambert,2011,67,44.0,14.0,1,91,20.0,91,20.0
411,Baila Baila Baila,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",2019,69,69.0,1.0,1,99,4.0,97,9.0
412,Bailamos,Enrique Iglesias,1999,51,1.0,8.0,2,65,19.0,65,19.0
413,Bailando,Enrique Iglesias,2014,81,12.0,15.0,1,84,2.0,46,30.0
414,Bait A Hook,Justin Moore,2011,100,63.0,5.0,1,100,1.0,88,10.0
415,Ball,T.I.,2012,50,50.0,1.0,1,88,3.0,88,20.0
416,Ball For Me,Post Malone,2018,16,16.0,1.0,1,89,14.0,89,14.0
417,Balla Baby,Chingy,2004,67,20.0,6.0,2,90,18.0,90,18.0
418,Ballin' Out Of Control,Jermaine Dupri,2001,98,95.0,3.0,1,100,4.0,98,5.0
419,Bandz A Make Her Dance,Juicy J,2012,71,29.0,12.0,1,71,1.0,58,20.0
420,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014,6,3.0,8.0,2,50,31.0,50,31.0
421,Bang Bang Pow Pow,T,2011,48,48.0,1.0,1,75,2.0,75,2.0
422,Bang My Head,David Guetta,2016,98,76.0,4.0,1,98,1.0,93,6.0
423,Bangarang,Skrillex,2012,95,72.0,3.0,1,100,14.0,85,20.0
424,Banjo,Rascal Flatts,2012,63,51.0,11.0,1,98,17.0,98,17.0
425,Bank Account,21 Savage,2017,33,12.0,5.0,5,47,28.0,47,28.0
426,Barbie Dreams,Nicki Minaj,2018,18,18.0,1.0,1,70,7.0,70,7.0
427,Barbie Tingz,Nicki Minaj,2018,83,25.0,2.0,1,84,4.0,84,4.0
428,Barefoot And Crazy,Jack Ingram,2009,98,64.0,10.0,1,98,1.0,82,12.0
429,Barefoot Blue Jean Night,Jake Owen,2011,96,21.0,19.0,2,96,1.0,42,24.0
430,Bartender,Lady Antebellum,2014,78,31.0,12.0,1,78,1.0,63,20.0
431,Bartender,T,2007,97,5.0,14.0,1,97,1.0,48,21.0
432,Bartier Cardi,Cardi B,2018,14,14.0,1.0,2,81,20.0,81,20.0
433,Bass Down Low,Dev,2010,94,61.0,7.0,1,100,12.0,100,12.0
434,Bat Country,Avenged Sevenfold,2005,87,60.0,10.0,1,96,15.0,96,15.0
435,Battle Scars,"Lupe Fiasco, Guy Sebastian",2012,73,71.0,14.0,3,99,2.0,80,20.0
436,Battlefield,Jordin Sparks,2009,32,10.0,11.0,1,78,3.0,44,22.0
437,Be Alright,Dean Lewis,2018,94,23.0,21.0,1,94,1.0,44,29.0
438,Be Careful,Cardi B,2018,16,11.0,2.0,1,64,20.0,64,20.0
439,Be Good To Me,Ashley Tisdale,2007,96,80.0,2.0,1,96,1.0,80,2.0
440,Be Here,Raphael Saadiq,2002,99,99.0,1.0,1,100,2.0,100,2.0
441,Be Like That,3 Doors Down,2001,72,24.0,15.0,1,72,1.0,49,20.0
442,Be My Escape,Relient K,2005,88,82.0,2.0,1,88,1.0,88,4.0
443,Be On You,Flo Rida,2009,75,19.0,9.0,1,90,2.0,85,16.0
444,Be Real,Kid Ink,2015,96,43.0,10.0,4,96,1.0,72,20.0
445,Be With You,Enrique Iglesias,2000,63,1.0,13.0,3,63,1.0,28,20.0
446,Be Without You,Mary J. Blige,2005,93,3.0,12.0,1,93,1.0,49,33.0
447,Be Yourself,Audioslave,2005,100,32.0,5.0,1,100,1.0,99,18.0
448,Beachin',Jake Owen,2014,94,26.0,13.0,1,94,1.0,67,20.0
449,"Beamer, Benz, Or Bentley",Lloyd Banks,2010,76,49.0,10.0,1,92,3.0,92,16.0
450,Beat It,Fall Out Boy,2008,22,19.0,2.0,1,96,7.0,96,7.0
451,Beat It,Sean Kingston,2013,98,52.0,11.0,1,99,18.0,99,18.0
452,Beat Of The Music,Brett Eldredge,2014,97,44.0,18.0,1,97,1.0,63,20.0
453,Beat This Summer,Brad Paisley,2013,97,46.0,16.0,1,99,2.0,95,20.0
454,Beating Heart,Ellie Goulding,2014,98,88.0,2.0,1,98,1.0,94,3.0
455,Beautiful,Akon,2008,19,19.0,1.0,4,68,3.0,40,22.0
456,Beautiful,Bazzi,2018,60,26.0,24.0,1,60,1.0,47,27.0
457,Beautiful,Christina Aguilera,2002,62,2.0,11.0,1,62,1.0,49,27.0
458,Beautiful,Eminem,2009,17,17.0,1.0,1,100,4.0,94,6.0
459,Beautiful,Snoop Dogg,2003,69,6.0,12.0,1,69,1.0,39,19.0
460,Beautiful Crazy,Luke Combs,2018,58,21.0,22.0,1,99,2.0,45,31.0
461,Beautiful Day,Lee DeWyze,2010,24,24.0,1.0,1,72,2.0,72,2.0
462,Beautiful Day,U2,2000,75,21.0,17.0,3,75,1.0,46,25.0
463,Beautiful Drug,Zac Brown Band,2015,95,52.0,17.0,1,100,2.0,94,20.0
464,Beautiful Girls,Sean Kingston,2007,83,1.0,10.0,4,83,1.0,50,22.0
465,Beautiful Goodbye,Jennifer Hanson,2003,97,76.0,8.0,2,97,1.0,91,10.0
466,Beautiful Liar,"Beyonce, Shakira",2007,94,3.0,2.0,1,94,1.0,91,18.0
467,Beautiful Love,The Afters,2006,69,55.0,4.0,1,96,2.0,94,7.0
468,Beautiful Mess,Diamond Rio,2002,78,28.0,10.0,1,78,1.0,61,20.0
469,Beautiful Monster,Ne,2010,67,53.0,7.0,1,91,9.0,91,9.0
470,Beautiful Now,Zedd,2015,88,64.0,12.0,1,97,4.0,74,14.0
471,Beautiful People,Chris Brown,2011,43,43.0,1.0,1,99,4.0,99,4.0
472,Beautiful Soul,Jesse McCartney,2004,72,16.0,10.0,2,72,1.0,45,20.0
473,Beautiful Stranger,Madonna,1999,23,19.0,2.0,1,99,14.0,99,14.0
474,Beautiful Trauma,P!nk,2017,95,78.0,7.0,1,99,4.0,97,15.0
475,Beauty,Dru Hill,1999,79,79.0,1.0,3,99,12.0,99,12.0
476,Beauty And A Beat,Justin Bieber,2012,72,5.0,11.0,2,72,1.0,44,24.0
477,Because I Got High,Afroman,2001,67,13.0,4.0,1,100,10.0,100,10.0
478,Because Of You,Kelly Clarkson,2005,99,7.0,12.0,1,99,1.0,42,35.0
479,Because Of You,Ne,2007,84,2.0,10.0,1,84,1.0,53,20.0
480,Because You Love Me,Jo Dee Messina,2000,83,53.0,7.0,1,93,13.0,93,13.0
481,Bed,J. Holiday,2007,89,5.0,9.0,1,89,1.0,46,22.0
482,Bed,Nicki Minaj,2018,43,42.0,9.0,1,91,10.0,91,10.0
483,Bed Intruder Song,"Antoine Dodson, The Gregory Brothers",2010,89,89.0,1.0,1,94,3.0,94,3.0
484,Bed Of Lies,Nicki Minaj,2014,70,62.0,4.0,1,91,6.0,91,6.0
485,BedRock,Young Money,2009,36,2.0,14.0,1,47,25.0,47,25.0
486,Been There,Clint Black With Steve Wariner,2000,87,44.0,9.0,3,100,20.0,100,20.0
487,Beep,Bobby V,2009,97,55.0,8.0,1,97,1.0,80,12.0
488,Beep,The Pussycat Dolls,2006,93,13.0,10.0,1,97,2.0,70,20.0
489,Beer In Mexico,Kenny Chesney,2007,98,61.0,9.0,2,98,1.0,98,17.0
490,Beer Money,Kip Moore,2012,99,51.0,13.0,1,99,1.0,92,20.0
491,Beer Never Broke My Heart,Luke Combs,2019,68,22.0,6.0,1,68,1.0,33,8.0
492,Beers Ago,Toby Keith,2012,95,52.0,13.0,1,95,1.0,81,15.0
493,Beez In The Trap,Nicki Minaj,2012,78,48.0,9.0,1,85,20.0,85,20.0
494,Before He Cheats,Carrie Underwood,2006,92,8.0,38.0,1,92,1.0,47,63.0
495,Before I Let Go,Beyonce,2019,75,65.0,2.0,1,79,10.0,79,10.0
496,Before It's Too Late,Goo Goo Dolls,2007,86,86.0,1.0,1,93,3.0,93,3.0
497,Beggin',Madcon,2009,95,79.0,4.0,1,95,1.0,94,10.0
498,Beggin' On Your Knees,Victorious Cast,2011,83,58.0,2.0,1,87,3.0,79,4.0
499,Begin Again,Taylor Swift,2012,7,7.0,1.0,1,78,4.0,65,20.0
500,Behind Blue Eyes,Limp Bizkit,2004,72,71.0,2.0,1,100,11.0,100,11.0
501,Behind These Hazel Eyes,Kelly Clarkson,2005,87,6.0,8.0,4,87,1.0,42,34.0
502,Beibs In The Trap,Travis Scott,2017,93,90.0,2.0,1,97,3.0,97,3.0
503,Believe,"Brooks, Dunn",2005,97,60.0,18.0,1,97,1.0,80,20.0
504,Believe,"Mumford, Sons",2015,31,31.0,1.0,1,94,15.0,94,15.0
505,Believe,Staind,2008,95,83.0,2.0,1,96,3.0,96,3.0
506,Believe Me,Lil Wayne,2014,36,26.0,2.0,1,87,20.0,87,20.0
507,Believer,Imagine Dragons,2017,43,4.0,27.0,2,66,2.0,29,51.0
508,Belly Dancer,Akon,2005,98,30.0,11.0,1,98,1.0,87,20.0
509,Bend Ova,Lil Jon,2014,92,92.0,1.0,1,97,2.0,97,3.0
510,Beneath Your Beautiful,Labrinth,2013,88,34.0,7.0,1,100,2.0,91,14.0
511,Bent,matchbox twenty,2000,60,1.0,13.0,1,60,1.0,48,38.0
512,Berzerk,Eminem,2013,3,3.0,1.0,1,79,20.0,79,20.0
513,Best Day Of My Life,American Authors,2013,93,11.0,21.0,2,93,1.0,48,36.0
514,Best Days Of Your Life,Kellie Pickler,2009,50,46.0,11.0,2,81,20.0,81,20.0
515,Best Friend,"50 Cent, Olivia",2006,72,35.0,10.0,1,91,15.0,91,15.0
516,Best Friend,Sofi Tukker,2018,100,81.0,3.0,1,100,1.0,97,5.0
517,Best Friend,Young Thug,2015,98,45.0,9.0,1,98,1.0,76,20.0
518,Best Friend's Brother,Victorious Cast,2011,93,86.0,2.0,2,94,3.0,86,4.0
519,Best I Ever Had,Drake,2009,92,2.0,10.0,4,92,1.0,41,24.0
520,Best I Ever Had,Gary Allan,2005,98,51.0,11.0,1,98,1.0,94,18.0
521,Best I Ever Had,Gavin DeGraw,2013,88,75.0,5.0,1,91,2.0,75,5.0
522,Best I Ever Had,Vertical Horizon,2001,65,58.0,5.0,1,100,16.0,100,16.0
523,Best Life,Cardi B,2018,39,39.0,1.0,1,100,3.0,100,3.0
524,Best Love Song,T,2011,33,33.0,1.0,1,69,4.0,58,20.0
525,Best Mistake,Ariana Grande,2014,49,49.0,1.0,1,94,2.0,94,2.0
526,Best Of Both Worlds,Hannah Montana,2006,92,92.0,1.0,1,99,2.0,99,2.0
527,Best Of Intentions,Travis Tritt,2000,97,27.0,16.0,1,97,1.0,48,22.0
528,Best Of Me,Mya,2000,85,50.0,6.0,2,97,17.0,97,17.0
529,Best Of You,Foo Fighters,2005,51,18.0,8.0,3,65,4.0,49,21.0
530,Best Part,Daniel Caesar,2018,81,75.0,10.0,1,94,4.0,93,19.0
531,Best Shot,Jimmie Allen,2018,97,37.0,16.0,1,97,1.0,55,20.0
532,Best Song Ever,One Direction,2013,2,2.0,1.0,1,97,17.0,54,21.0
533,Best Thing I Never Had,Beyonce,2011,84,16.0,9.0,1,84,1.0,67,20.0
534,Bet On It,Zac Efron,2007,66,46.0,2.0,1,97,3.0,97,3.0
535,Betcha Can't Do It Like Me,D4L,2006,99,72.0,3.0,1,99,1.0,92,8.0
536,Betrayed,Lil Xan,2017,93,64.0,12.0,1,93,1.0,77,19.0
537,Better,Khalid,2018,45,8.0,30.0,1,87,3.0,41,41.0
538,Better As A Memory,Kenny Chesney,2008,87,46.0,10.0,2,99,17.0,99,17.0
539,Better Days,Citizen King,1999,36,25.0,6.0,2,56,13.0,56,13.0
540,Better Days,Goo Goo Dolls,2005,57,36.0,2.0,1,92,5.0,54,20.0
541,Better Dig Two,The Band Perry,2012,53,28.0,12.0,1,64,2.0,62,20.0
542,Better In Time,Leona Lewis,2008,62,11.0,14.0,2,75,2.0,49,31.0
543,Better Life,Keith Urban,2005,98,44.0,8.0,1,98,1.0,87,20.0
544,Better Man,Little Big Town,2016,54,34.0,14.0,1,80,5.0,62,20.0
545,Better Now,Post Malone,2018,7,3.0,22.0,2,42,52.0,42,52.0
546,Better Off Alone,Alice Deejay,2000,79,27.0,9.0,1,86,20.0,86,20.0
547,Better Than I Used To Be,Tim McGraw,2011,81,52.0,19.0,1,81,1.0,53,20.0
548,Better Than Me,Hinder,2007,95,31.0,8.0,1,95,1.0,64,20.0
549,Better With The Lights Off,New Boyz,2011,61,38.0,15.0,1,78,19.0,78,19.0
550,Between Me And You,Ja Rule,2000,85,11.0,10.0,2,85,1.0,53,20.0
551,Between The Raindrops,Lifehouse,2012,79,79.0,1.0,1,100,2.0,100,2.0
552,Beverly Hills,Weezer,2005,25,10.0,26.0,1,53,5.0,38,43.0
553,Beware,Big Sean,2013,100,38.0,6.0,2,100,1.0,69,20.0
554,Beware Of The Boys,Panjabi MC,2003,97,33.0,6.0,1,98,12.0,98,12.0
555,Bia' Bia',"Lil Jon, The East Side Boyz",2001,94,94.0,1.0,2,100,3.0,100,3.0
556,Bickenhead,Cardi B,2018,43,43.0,1.0,1,68,2.0,68,2.0
557,Big Bank,YG,2018,66,16.0,10.0,1,97,3.0,49,24.0
558,Big Blue Note,Toby Keith,2005,94,55.0,10.0,2,94,1.0,77,12.0
559,Big Chips,"R. Kelly, Jay",2004,63,39.0,4.0,1,97,9.0,97,9.0
560,Big Deal,LeAnn Rimes,1999,71,23.0,12.0,1,71,1.0,70,20.0
561,Big Girls Don't Cry,Fergie,2007,41,1.0,19.0,1,51,3.0,45,48.0
562,Big Green Tractor,Jason Aldean,2009,85,18.0,13.0,1,85,1.0,49,20.0
563,Big Machine,Goo Goo Dolls,2002,70,64.0,2.0,2,87,6.0,87,6.0
564,Big Ole Freak,Megan Thee Stallion,2019,99,65.0,5.0,2,99,1.0,94,12.0
565,Big Pimpin',Jay,2000,69,18.0,12.0,1,69,1.0,50,19.0
566,Big Rings,"Drake, Future",2015,75,52.0,2.0,2,76,9.0,73,20.0
567,Big Shot,"Kendrick Lamar, Travis Scott",2018,71,71.0,1.0,1,83,2.0,83,2.0
568,Big Star,Kenny Chesney,2003,65,28.0,10.0,2,91,20.0,91,20.0
569,Big Yellow Taxi,Counting Crows,2003,63,42.0,15.0,1,63,1.0,58,20.0
570,Bigger Than My Body,John Mayer,2003,66,33.0,7.0,2,96,19.0,96,19.0
571,Bill Gates,Lil Wayne,2010,75,75.0,1.0,1,75,1.0,75,1.0
572,Billionaire,Travie McCoy,2010,92,4.0,11.0,2,92,1.0,41,27.0
573,Bills,LunchMoney Lewis,2015,95,79.0,6.0,1,95,1.0,79,6.0
574,"Bills, Bills, Bills",Destiny's Child,1999,1,1.0,1.0,1,61,16.0,61,16.0
575,"Bills, Bills, Bills",Glee Cast,2011,79,44.0,2.0,1,79,1.0,44,2.0
576,Billy,6ix9ine,2018,60,50.0,3.0,1,91,8.0,91,8.0
577,Billy's Got His Beer Goggles On,Neal McCoy,2005,98,75.0,6.0,1,99,9.0,99,9.0
578,Birthday,Katy Perry,2014,91,17.0,7.0,2,97,17.0,97,18.0
579,Birthday Cake,Rihanna,2012,63,24.0,9.0,4,80,20.0,80,20.0
580,Birthday Sex,Jeremih,2009,91,4.0,8.0,2,91,1.0,39,20.0
581,Birthday Song,2 Chainz,2012,91,47.0,12.0,1,100,2.0,59,20.0
582,"Bitch, Don't Kill My Vibe",Kendrick Lamar,2013,100,32.0,13.0,1,100,1.0,50,21.0
583,Bittersweet,Fantasia,2010,94,74.0,8.0,1,95,3.0,93,12.0
584,Bizounce,Olivia,2001,94,15.0,5.0,3,94,1.0,80,14.0
585,Black,Dierks Bentley,2017,98,56.0,16.0,2,98,1.0,86,19.0
586,Black And Yellow,Wiz Khalifa,2010,100,1.0,18.0,1,100,1.0,38,25.0
587,Black Balloon,Goo Goo Dolls,1999,55,16.0,13.0,1,55,1.0,53,33.0
588,Black Barbies,"Nicki Minaj, Mike WiLL Made",2016,65,65.0,1.0,1,97,2.0,97,2.0
589,Black Beatles,Rae Sremmurd,2016,96,1.0,9.0,7,96,1.0,40,27.0
590,Black Horse & The Cherry Tree,KT Tunstall,2006,91,20.0,12.0,1,91,1.0,50,30.0
591,Black Magic,Little Mix,2015,99,67.0,3.0,1,99,1.0,89,8.0
592,Black Skinhead,Kanye West,2013,69,69.0,1.0,1,97,3.0,92,4.0
593,Black Suits Comin',Will Smith,2002,77,77.0,1.0,1,95,2.0,94,3.0
594,Black Widow,Iggy Azalea,2014,97,3.0,14.0,2,97,1.0,48,30.0
595,Blackout,Breathe Carolina,2011,92,32.0,12.0,1,96,20.0,96,20.0
596,Blah Blah Blah,Ke$ha,2010,7,7.0,1.0,1,92,20.0,92,20.0
597,Blame,Calvin Harris,2014,31,19.0,8.0,1,50,20.0,50,20.0
598,Blame It,Jamie Foxx,2009,98,2.0,16.0,1,98,1.0,45,27.0
599,Blame It On Me,Post Malone,2018,47,47.0,1.0,1,93,2.0,93,2.0
600,Blank Space,Taylor Swift,2014,18,1.0,3.0,7,50,36.0,50,36.0
601,Blase,Ty Dolla $ign,2015,85,63.0,9.0,2,99,17.0,99,18.0
602,Bleed It Out,Linkin Park,2007,97,52.0,8.0,1,97,1.0,82,20.0
603,Bleed Red,Ronnie Dunn,2011,99,62.0,9.0,1,99,1.0,74,18.0
604,Bleeding Love,Leona Lewis,2008,85,1.0,6.0,4,85,1.0,47,39.0
605,Blem,Drake,2017,38,38.0,1.0,1,84,4.0,84,4.0
606,Bless The Broken Road,Rascal Flatts,2004,66,29.0,11.0,1,66,1.0,61,20.0
607,Blessed,Martina McBride,2002,71,31.0,12.0,2,71,1.0,70,20.0
608,Blessings,Big Sean,2015,54,28.0,10.0,3,68,3.0,48,20.0
609,Bliss,Tori Amos,1999,91,91.0,1.0,1,100,2.0,100,2.0
610,Blood On The Leaves,Kanye West,2013,91,89.0,2.0,1,91,1.0,89,2.0
611,Bloodline,Ariana Grande,2019,22,22.0,1.0,1,93,3.0,93,3.0
612,Blow,Ke$ha,2010,97,7.0,7.0,1,97,1.0,43,26.0
613,Blow Me,P!nk,2012,58,5.0,11.0,3,58,1.0,47,27.0
614,Blowin' Me Up,JC Chasez,2002,94,35.0,9.0,3,94,1.0,94,17.0
615,Blown Away,Carrie Underwood,2012,66,20.0,15.0,1,91,2.0,49,22.0
616,Blue,Eiffel 65,1999,67,6.0,8.0,1,88,20.0,88,20.0
617,Blue Ain't Your Color,Keith Urban,2016,73,24.0,10.0,1,73,1.0,42,21.0
618,Blue Jeans,Yasmeen,2002,99,97.0,2.0,3,99,1.0,97,4.0
619,Blue Magic,JAY,2007,55,55.0,1.0,1,99,3.0,95,5.0
620,Blue Orchid,The White Stripes,2005,43,43.0,1.0,1,97,3.0,94,7.0
621,Blue Tacoma,Russell Dickerson,2018,77,52.0,6.0,1,99,19.0,99,19.0
622,Blue Tint,Drake,2018,30,30.0,1.0,1,80,3.0,80,3.0
623,Blunt Blowin,Lil Wayne,2011,33,33.0,1.0,1,95,4.0,80,6.0
624,Blurred Lines,Robin Thicke,2013,94,1.0,8.0,12,94,1.0,48,48.0
625,Blurry,Puddle Of Mudd,2001,72,5.0,20.0,1,72,1.0,49,37.0
626,Bobby Bitch,Bobby Shmurda,2014,96,92.0,3.0,1,96,1.0,92,3.0
