,Unnamed: 0,X,GrammyAward,GrammyYear,Genre,Name,Artist,Artists,number_artists
59,84,83,Best Country Duo/Group Performance,2015,Country,girl crush,Little Big Town,Little Big Town,1
60,85,84,Best Country Song,2015,Country,girl crush,"Illary Lindsey, Lori Mckenna & Liz Rose, Songwriters",Little Big Town,1
61,91,90,Best Song Written For Visual Media,2015,Composing/Arranging,glory,"Onnie Lynn, Che Smith & John Stephens, Songwriters","Common, John Legend",2
62,95,94,Best Pop Duo/Group Performance,2014,Pop,say something,"a Great Big World (Ian Axel & Chad Vaccarino) & Christina Aguilera, Artists","A Great Big World, Christina Aguilera",2
63,95,94,Best Pop Duo/Group Performance,2014,Pop,say something,"a Great Big World (Ian Axel & Chad Vaccarino) & Christina Aguilera, Artists",Justin Timberlake,1
64,95,94,Best Pop Duo/Group Performance,2014,Pop,say something,"a Great Big World (Ian Axel & Chad Vaccarino) & Christina Aguilera, Artists",Timbaland,1
65,96,95,Best Dance Recording,2014,Dance/Electronic Music,rather be,Clean Bandit Featuring Jess Glynne,Clean Bandit,1
66,99,98,Best Rock Song,2014,Rock,ain't it fun,Paramore,Paramore,1
67,100,99,Best R&B Performance,2014,R&B,drunk in love,"Beyoncé & Jay Z, Artists (Beyoncé Featuring Jay z)",Beyonce,1
68,102,101,Best R&B Song,2014,R&B,drunk in love,Beyonce,Beyonce,1
69,103,102,Best Rap Performance,2014,Rap,i,Kendrick Lamar,Lil Skies,1
70,104,103,Best Rap Song,2014,Rap,i,Kendrick Lamar,Lil Skies,1
71,105,104,Best Country Solo Performance,2014,Country,something in the water,"Carrie Underwood, Artist",Carrie Underwood,1
72,113,112,Best Song Written For Visual Media,2014,Composing/Arranging,let it go,Idina Menzel,Demi Lovato,1
73,113,112,Best Song Written For Visual Media,2014,Composing/Arranging,let it go,Idina Menzel,Idina Menzel,1
74,113,112,Best Song Written For Visual Media,2014,Composing/Arranging,let it go,Idina Menzel,James Bay,1
75,113,112,Best Song Written For Visual Media,2014,Composing/Arranging,let it go,Idina Menzel,Keyshia Cole,1
76,113,112,Best Song Written For Visual Media,2014,Composing/Arranging,let it go,Idina Menzel,Tim McGraw,1
77,114,113,Record Of The Year,2013,General,get lucky,Daft punk featuring Pharrell Williams & Nile Rodgers,Daft Punk,1
78,117,116,Best Pop Duo/Group Performance,2013,Pop,get lucky,Daft punk featuring Pharrell Williams & Nile Rodgers,Daft Punk,1
79,115,114,Song Of The Year,2013,General,royals,Lorde,Lorde,1
80,116,115,Best Pop Solo Performance,2013,Pop,royals,Lorde,Lorde,1
81,118,117,Best Dance Recording,2013,Dance/Electronic Music,clarity,Zedd Featuring Foxes,Zedd,1
82,119,118,Best Rock Performance,2013,Rock,radioactive,Imagine Dragons,Imagine Dragons,1
83,119,118,Best Rock Performance,2013,Rock,radioactive,Imagine Dragons,Kings Of Leon,1
84,122,121,Best R&B Performance,2013,R&B,something,Snarky Puppy with Lalah Hathaway,Lasgo,1
85,124,123,Best R&B Song,2013,R&B,pusher love girl,Justin Timberlake,Justin Timberlake,1
86,125,124,Best Rap Performance,2013,Rap,thrift shop,Macklemore & Ryan lewis featuring Wanz,"Macklemore, Ryan Lewis",2
87,126,125,Best Rap Song,2013,Rap,thrift shop,,"Macklemore, Ryan Lewis",2
88,127,126,Best Country Solo Performance,2013,Country,wagon wheel,"Macklemore, Ryan Lewis",Darius Rucker,1
89,129,128,Best Country Song,2013,Country,merry go 'round,Kacey Musgraves,Kacey Musgraves,1
90,132,131,Best Song Written For Visual Media,2013,Composing/Arranging,skyfall,Adele,Adele,1
91,133,132,Record Of The Year,2012,General,somebody that i used to know,Gotye Featuring Kimbra,Glee Cast,1
92,133,132,Record Of The Year,2012,General,somebody that i used to know,Gotye Featuring Kimbra,Gotye,1
93,136,135,Best Pop Duo/Group Performance,2012,Pop,somebody that i used to know,Gotye Featuring Kimbra,Glee Cast,1
94,136,135,Best Pop Duo/Group Performance,2012,Pop,somebody that i used to know,Gotye Featuring Kimbra,Gotye,1
95,134,133,Song Of The Year,2012,General,we are young,Fun Featuring Janelle Monáe,Glee Cast,1
